T1,T1.1,T1.2,T1.3,T1.4,T1.5,T1.6,T1.7,T1.8,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9,RL1,RL2,RL3,RL4,RL5,RL6,RL7,RL8,RL9,LL1,LL2,LL3,LL4,LL5,LL6,LL7,LL8,LL9
-0.11053,-0.11053,-0.11053,-0.11053,-0.11053,-0.11053,-0.11053,-0.11053,-0.11053,8.8929,3.3947,2.3538,0.011055,-0.005694,0.011147,-0.58352,-0.53184,0.33552,8.9832,-3.7729,0.96906,-0.009712,0.004615,0.00219,-0.58368,-0.074776,-0.47538,-9.6438,-1.744,-0.26417,0.008406,0.00203,-0.006922,0.44031,0.33899,-0.53112,-9.7369,0.74253,-0.73913,0.004529,0.00663,-0.008446,0.40834,-0.039427,0.64394
-0.11146,-0.11146,-0.11146,-0.11146,-0.11146,-0.11146,-0.11146,-0.11146,-0.11146,8.8732,3.419,2.3417,0.000406,0.001344,0.005936,-0.5843,-0.53253,0.33267,9.0246,-3.7244,0.91018,-0.004353,0.002835,0.00221,-0.58223,-0.074567,-0.4763,-9.644,-1.714,-0.25671,0.006484,0.002037,-0.000739,0.44039,0.33966,-0.53216,-9.7594,0.75763,-0.75441,0.00451,-0.000533,-0.008484,0.40895,-0.040697,0.64136
-0.11277,-0.11277,-0.11277,-0.11277,-0.11277,-0.11277,-0.11277,-0.11277,-0.11277,8.9075,3.4092,2.3516,-0.011075,0.003876,-0.009956,-0.58323,-0.533,0.33594,9.0173,-3.7633,0.95964,-0.016999,0.004725,0.009258,-0.58265,-0.074543,-0.47719,-9.6513,-1.744,-0.27933,-0.002567,0.000295,0.007183,0.44093,0.33942,-0.53252,-9.7743,0.78011,-0.7546,-0.013637,0.000449,-0.001191,0.40836,-0.039415,0.6425
-0.11209,-0.11209,-0.11209,-0.11209,-0.11209,-0.11209,-0.11209,-0.11209,-0.11209,8.8706,3.4143,2.3052,-0.015722,-0.003947,0.004261,-0.58329,-0.53398,0.33454,9.0075,-3.7245,0.9637,-0.009697,0.000946,0.00131,-0.58248,-0.071887,-0.47626,-9.6438,-1.7664,-0.28665,-0.004974,0.012611,-0.003325,0.44014,0.34015,-0.53152,-9.7368,0.79495,-0.77634,-0.013638,-0.00225,-0.001227,0.4091,-0.039676,0.64357
-0.11312,-0.11312,-0.11312,-0.11312,-0.11312,-0.11312,-0.11312,-0.11312,-0.11312,8.861,3.3489,2.2975,0.013893,-0.004938,-0.003113,-0.58418,-0.53215,0.33267,8.993,-3.7583,0.9494,-0.004145,0.011663,-0.008383,-0.58245,-0.072656,-0.47574,-9.6138,-1.759,-0.24855,0.004502,0.00027,0.008945,0.43884,0.34011,-0.53002,-9.7518,0.77998,-0.74675,-0.013554,-0.004187,-0.008469,0.40885,-0.039406,0.64199
-0.11318,-0.11318,-0.11318,-0.11318,-0.11318,-0.11318,-0.11318,-0.11318,-0.11318,8.8807,3.3898,2.3537,0.024555,-0.000443,0.007504,-0.58254,-0.5332,0.33432,9.0148,-3.7294,0.9639,0.013592,0.001025,-0.003077,-0.58242,-0.071369,-0.47751,-9.6436,-1.774,-0.25663,0.006732,0.014353,-0.010371,0.44083,0.33989,-0.53149,-9.7519,0.73524,-0.76928,0.004584,0.014666,-0.010195,0.40849,-0.04032,0.64226
-0.11501,-0.11501,-0.11501,-0.11501,-0.11501,-0.11501,-0.11501,-0.11501,-0.11501,8.8882,3.38,2.3805,0.014663,-0.005737,0.007558,-0.58352,-0.5319,0.33309,9.0148,-3.7196,0.95151,-0.006923,-0.000965,-0.003103,-0.58293,-0.072132,-0.47541,-9.6288,-1.7589,-0.27136,0.00489,0.021392,-0.006791,0.44137,0.33863,-0.53198,-9.7593,0.78012,-0.77676,-0.008313,0.000613,0.006025,0.40953,-0.039791,0.64228
-0.1139,-0.1139,-0.1139,-0.1139,-0.1139,-0.1139,-0.1139,-0.1139,-0.1139,8.8807,3.4044,2.3562,0.010326,0.004817,0.000538,-0.5848,-0.53197,0.33545,9.0025,-3.7241,0.94181,-0.007688,-0.004528,-0.004879,-0.58322,-0.071892,-0.47668,-9.6587,-1.7441,-0.25697,0.001092,0.018778,0.003784,0.4415,0.33926,-0.5321,-9.7369,0.75011,-0.76899,0.004318,0.006963,0.007837,0.40895,-0.039416,0.6433
-0.11395,-0.11395,-0.11395,-0.11395,-0.11395,-0.11395,-0.11395,-0.11395,-0.11395,8.8439,3.3948,2.3341,0.000526,-0.002338,-0.010098,-0.58355,-0.53297,0.33477,9.0123,-3.7485,0.93505,-0.00579,-0.001924,-0.01017,-0.58317,-0.071267,-0.47571,-9.6436,-1.7891,-0.24911,-0.001123,0.009078,-0.017471,0.44071,0.33937,-0.53123,-9.7369,0.77246,-0.75399,-0.00365,0.019296,-0.001107,0.40843,-0.03994,0.6433
-0.11326,-0.11326,-0.11326,-0.11326,-0.11326,-0.11326,-0.11326,-0.11326,-0.11326,8.8683,3.4045,2.3221,0.022057,0.001161,-0.01203,-0.5838,-0.53303,0.33246,9.0221,-3.7825,0.94557,0.004913,0.002709,-0.010149,-0.58367,-0.072137,-0.47583,-9.6437,-1.774,-0.27164,0.002938,0.007322,0.000167,0.44122,0.34103,-0.5316,-9.7518,0.78003,-0.76169,-0.004501,0.003914,-0.008437,0.40931,-0.039006,0.64121
