,steps
0,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:45:00'}"
1,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:44:00'}"
2,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:43:00'}"
3,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:42:00'}"
4,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:41:00'}"
5,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:40:00'}"
6,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:39:00'}"
7,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:38:00'}"
8,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:37:00'}"
9,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:36:00'}"
10,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:35:00'}"
11,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:34:00'}"
12,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:33:00'}"
13,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:32:00'}"
14,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:31:00'}"
15,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:30:00'}"
16,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:29:00'}"
17,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:28:00'}"
18,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:27:00'}"
19,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:26:00'}"
20,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:25:00'}"
21,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:24:00'}"
22,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:23:00'}"
23,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:22:00'}"
24,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:21:00'}"
25,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:20:00'}"
26,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:19:00'}"
27,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:18:00'}"
28,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'20:17:00'}"
