Column,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
LA1,3.31932656,9.186914467,-0.347881433,-5.31562604,7.051110611,7.162886907,8.802857467,5.753756697,8.9777584,5.596793381,0.036056703,5.370884821,-1.726650193,5.684456036,0.294273205,1.95991481,3.472354497,0.596974887,0.596974887
LA2,-8.527156933,-3.301992347,-7.035429973,-1.58611176,-2.685072223,-2.653071652,-4.193865853,-4.962537738,-3.303138083,-5.383053343,-9.085497341,-3.697774301,-6.883073766,-5.143707943,-4.05090232,-1.280355188,-7.662947926,-5.59343319,-5.59343319
LA3,3.581495133,0.790150144,6.87194696,-8.08571452,1.433827751,1.654938465,-0.644433763,1.154062007,2.210689328,5.817768172,4.280111991,6.092006728,6.230727251,5.58692348,8.680819096,8.779553853,-2.766405458,4.299404425,4.299404425
LA4,-0.002571879,-0.002466368,-0.001994052,0.001692901,-0.003071716,-0.008604753,-0.00148204,-0.055239868,-0.010078175,-0.005385328,-0.214125752,-0.007619367,-0.009473173,-0.001016485,-0.008998938,-0.035182515,-0.001342928,-0.014415052,-0.014415052
LA5,-0.00183595,-0.002739401,-0.002055446,-0.002119599,0.005554059,0.003488433,-0.002463956,0.04186058,-0.003979884,0.001692463,0.008337738,-0.000984087,-0.01815317,0.000190544,-0.004349327,0.066745122,0.003971064,-0.121431735,-0.121431735
LA6,-0.006566265,-0.007441803,-0.006670925,0.006881795,-0.018913175,-0.006434812,-0.005407923,-0.043554408,-0.002641259,-0.00844002,0.015269034,-0.010431524,-0.025082026,-0.00559927,0.001386505,-0.051633125,0.003168844,-0.092184264,-0.092184264
LA7,-0.648542499,-0.582736124,-0.067395086,-0.001790649,-0.246213576,-0.480193777,-0.364858941,-0.231142159,-0.708572159,-0.383204503,0.373550912,-0.106583386,0.277366705,-0.823649829,-0.337272499,0.20797965,-0.022811927,0.208868743,0.208868743
LA8,0.335955249,-0.075996901,0.794972312,0.295451555,0.507084335,-0.193278547,0.224138035,0.148940851,0.259667001,0.803142478,0.751468414,0.348360909,0.543357445,0.183311581,0.726489333,-0.14428302,0.390405628,0.343497515,0.343497515
LA9,0.074140275,-0.438481344,-0.205300272,0.81390354,0.061828071,-0.278851853,-0.307045799,-0.017809066,-0.168195861,-1.171103713,-0.830566267,-0.716804264,-0.735342672,-0.572043448,-0.528619233,-0.875423303,0.564497573,-0.425457504,-0.425457504
LL1,-2.78995368,-9.77352224,-0.292235423,-0.889136184,-7.64323068,-7.819229175,-9.761350613,-9.785473799,-10.01148543,-10.36050481,-11.80288498,-9.676799867,-10.27560237,-1.645979701,-6.183456935,-0.890855683,-9.991859188,-9.968766848,-9.968766848
LL2,-9.09178464,0.58512378,-9.80265304,-4.900770947,-1.816879965,-1.275262479,-0.643053254,0.515529452,-0.807798117,-0.531281901,-0.162093747,-2.671346249,-1.86698054,-9.119159947,-7.622391278,-9.660662827,-1.834557408,-0.64828659,-0.64828659
LL3,2.624693267,-0.686028583,0.887240025,8.369456147,-0.439614159,-0.362726925,-0.627319287,-0.500252414,-0.492413552,-0.62458851,-0.398462079,-0.253809676,-0.388539278,0.094756563,-0.693220989,1.206020778,-0.609675984,-0.497512878,-0.497512878
LL4,-0.005305658,-0.004491638,-0.005773469,0.006078708,-0.057920533,-0.009762277,-0.002983183,0.079343421,-0.060634675,-0.077677286,-0.077606138,-0.028168329,-0.049396778,0.002163478,-0.040814773,0.006123055,-0.013439477,0.081717295,0.081717295
LL5,0.001850186,0.001172088,0.00162182,0.001968566,0.051477144,0.005857607,0.000193785,0.00322511,0.089919329,0.125756835,-0.003020207,-0.003143403,-0.048805606,-0.034280137,-0.039232431,0.003284903,-0.019238115,0.006793887,0.006793887
LL6,-0.003170873,-0.002629557,-0.002969731,0.0029581,-0.006698315,-0.00656287,-0.002793617,-0.004955034,-0.022700908,-0.034204427,-0.007916028,-0.002497366,0.003501907,-0.000805906,-0.014000769,-0.006173511,-0.004031818,-0.012748751,-0.012748751
LL7,0.738951853,0.41403952,0.142934564,0.15459386,0.353631326,0.426853557,0.363391944,0.413415743,0.746226063,0.468235475,0.511547905,0.765199791,0.517464215,0.284250141,0.473239521,-0.42016446,0.468765419,0.806528348,0.806528348
LL8,0.302802187,-0.030736907,0.567712515,0.552878807,0.339676455,-0.164128761,0.191519744,-0.12891282,0.06255932,0.502423877,0.478441388,0.553301717,0.326631667,0.437718343,0.600949696,0.856147131,0.107918658,0.398039371,0.398039371
LL9,-0.056752254,0.641115241,-0.525275292,-0.374686325,-0.257031542,0.353112451,-0.286065029,0.130935148,0.038846549,0.179244971,0.088129958,0.275381137,0.03516825,0.124446063,-0.417995107,-0.005589587,-0.452415411,0.104421212,0.104421212
RA1,0.315406767,8.98177624,-0.810998751,3.82927268,6.6703864,7.080892165,7.519011067,1.102134641,8.92141468,4.622719995,-1.192556663,4.214518055,-1.734367089,3.727423322,-1.376202403,0.882080694,1.168870116,1.395599009,1.395599009
RA2,6.19025384,3.11579096,1.748955013,-8.243785467,2.960866926,2.770279945,6.141650893,5.25472106,3.252287612,6.125760636,8.990220444,4.711361541,7.526122116,7.158824679,5.176549118,1.837698585,8.85264834,4.076934258,4.076934258
RA3,7.577728853,2.318970813,9.620115547,3.680908213,1.413444762,1.580466985,0.246134987,3.898577523,2.563981814,5.990764547,3.185789134,6.087828806,5.660460106,5.21357705,8.084004329,8.583765379,2.351741361,4.313522181,4.313522181
RA4,0.009239704,0.008991166,0.009383806,-0.008930689,0.018380821,0.002202623,0.010302725,-0.001229256,0.022029084,0.008933696,0.179387015,0.019618754,0.009881699,0.008369951,0.013538854,0.013136236,0.01246273,0.040911107,0.040911107
RA5,-0.004336989,-0.004908104,-0.004601209,-0.004344849,0.002458638,-0.001917651,-0.004669651,-0.063862061,-0.005963984,-0.001939023,0.048819285,-0.008957425,-0.024770528,-0.002970828,-0.008445174,0.068462726,0.002357383,-0.252646878,-0.252646878
